z,N,Mx,My,Tx_jourawski,Ty_jourawski,Tz
0.000000000000e+00,-1.044050000000e+06,1.129209495834e+05,-5.312849047776e+02,3.284721018559e+01,-7.515134076886e+03,0.000000000000e+00
1.000000000000e+00,-1.044050000000e+06,1.054059597626e+05,-4.984663889325e+02,3.278769202727e+01,-7.514834858877e+03,0.000000000000e+00
2.000000000000e+00,-1.044050000000e+06,9.789129697737e+04,-4.657129245068e+02,3.271739738049e+01,-7.514481463982e+03,0.000000000000e+00
3.000000000000e+00,-1.044050000000e+06,9.037701685255e+04,-4.330355759670e+02,3.263514516978e+01,-7.514067954101e+03,0.000000000000e+00
4.000000000000e+00,-1.044050000000e+06,8.286318454725e+04,-4.004473042661e+02,3.253886792171e+01,-7.513583935734e+03,0.000000000000e+00
5.000000000000e+00,-1.044050000000e+06,7.534987659364e+04,-3.679633326021e+02,3.242609527374e+01,-7.513016989297e+03,0.000000000000e+00
6.000000000000e+00,-1.044050000000e+06,6.783718313971e+04,-3.356015925229e+02,3.229386426097e+01,-7.512352219148e+03,0.000000000000e+00
7.000000000000e+00,-1.044050000000e+06,6.032521069636e+04,-3.033832703650e+02,3.213860739568e+01,-7.511571690180e+03,0.000000000000e+00
8.000000000000e+00,-1.114700000000e+06,5.219448650748e+04,-1.480875736857e+02,2.298925931754e+02,-8.505748112654e+03,0.000000000000e+00
9.000000000000e+00,-1.256000000000e+06,4.410000000000e+04,-4.148333655369e-11,3.790358974910e+01,-7.540554213661e+03,0.000000000000e+00
1.000000000000e+01,-1.256000000000e+06,3.675000000000e+04,-1.505128389095e-10,4.582714142842e-09,-7.349999999997e+03,0.000000000000e+00
1.100000000000e+01,-1.256000000000e+06,2.940000000000e+04,1.802679023014e-11,-2.269638047047e-09,-7.350000000009e+03,0.000000000000e+00
1.200000000000e+01,-1.256000000000e+06,2.205000000000e+04,-1.628926828024e-11,-9.697544382839e-09,-7.350000000001e+03,0.000000000000e+00
1.300000000000e+01,-1.256000000000e+06,1.470000000000e+04,1.411736584288e-11,-2.725737558894e-09,-7.349999999997e+03,0.000000000000e+00
1.400000000000e+01,-1.256000000000e+06,7.350000000000e+03,-1.433455608661e-11,-2.866911217323e-09,-7.350000000000e+03,0.000000000000e+00
1.425000000000e+01,-1.256000000000e+06,5.512500000000e+03,-2.649720973586e-11,2.997225363565e-09,-7.350000000003e+03,0.000000000000e+00
1.500000000000e+01,-1.256000000000e+06,8.687609749464e-12,1.281422438046e-11,1.237984389299e-09,-7.350000000001e+03,0.000000000000e+00
