z,polygon_idx,polygon_name,sigma_min,vertex_index_min,x_min,y_min,sigma_max,vertex_index_max,x_max,y_max,sigma_extreme,vertex_index_extreme,x_extreme,y_extreme
0.000000000000e+00,0,0_1_C,3.030662088176e+07,17,-4.209517756016e-02,1.016267485762e-01,3.416041440028e+07,2,-6.501466848383e-03,1.323403979472e-01,3.416041440028e+07,2,-6.501466848383e-03,1.323403979472e-01
0.000000000000e+00,1,1_1_C,2.737902132226e+07,17,-7.778174593052e-02,7.778174593052e-02,3.317621694751e+07,0,-5.070555478837e-02,1.224140380577e-01,3.317621694751e+07,0,-5.070555478837e-02,1.224140380577e-01
0.000000000000e+00,2,2_1_C,2.276131342644e+07,17,-1.016267485762e-01,4.209517756016e-02,2.964979020538e+07,0,-9.369164850722e-02,9.369164850722e-02,2.964979020538e+07,0,-9.369164850722e-02,9.369164850722e-02
0.000000000000e+00,3,3_1_C,1.715650136181e+07,17,-1.100000000000e-01,1.347111479062e-17,2.408755114905e+07,0,-1.224140380577e-01,5.070555478837e-02,2.408755114905e+07,0,-1.224140380577e-01,5.070555478837e-02
0.000000000000e+00,4,4_1_C,1.042385426596e+07,16,-1.224140380577e-01,-5.070555478837e-02,1.733630025302e+07,0,-1.325000000000e-01,1.622657008870e-17,1.733630025302e+07,0,-1.325000000000e-01,1.622657008870e-17
0.000000000000e+00,5,5_1_C,4.402570427939e+06,16,-9.369164850722e-02,-9.369164850722e-02,1.141786695746e+07,33,-1.016267485762e-01,-4.209517756016e-02,1.141786695746e+07,33,-1.016267485762e-01,-4.209517756016e-02
0.000000000000e+00,6,6_1_C,1.891346202069e+05,16,-5.070555478837e-02,-1.224140380577e-01,6.419065280611e+06,33,-7.778174593052e-02,-7.778174593052e-02,6.419065280611e+06,33,-7.778174593052e-02,-7.778174593052e-02
0.000000000000e+00,7,7_1_C,-1.574995750395e+06,16,-2.433985513305e-17,-1.325000000000e-01,2.921118572305e+06,33,-4.209517756016e-02,-1.016267485762e-01,2.921118572305e+06,33,-4.209517756016e-02,-1.016267485762e-01
0.000000000000e+00,8,8_1_C,-1.605445279595e+06,2,6.501466848383e-03,-1.323403979472e-01,2.248348238921e+06,17,4.209517756016e-02,-1.016267485762e-01,2.248348238921e+06,17,4.209517756016e-02,-1.016267485762e-01
0.000000000000e+00,9,9_1_C,-6.212478268240e+05,0,5.070555478837e-02,-1.224140380577e-01,5.175947798422e+06,17,7.778174593052e-02,-7.778174593052e-02,5.175947798422e+06,17,7.778174593052e-02,-7.778174593052e-02
0.000000000000e+00,10,10_1_C,2.905178915302e+06,0,9.369164850722e-02,-9.369164850722e-02,9.793655694244e+06,17,1.016267485762e-01,-4.209517756016e-02,9.793655694244e+06,17,1.016267485762e-01,-4.209517756016e-02
0.000000000000e+00,11,11_1_C,8.467417971633e+06,0,1.224140380577e-01,-5.070555478837e-02,1.539846775887e+07,17,1.100000000000e-01,-2.694222958124e-17,1.539846775887e+07,17,1.100000000000e-01,-2.694222958124e-17
0.000000000000e+00,12,12_1_C,1.521866886767e+07,0,1.325000000000e-01,-3.245314017740e-17,2.213111485472e+07,16,1.224140380577e-01,5.070555478837e-02,2.213111485472e+07,16,1.224140380577e-01,5.070555478837e-02
0.000000000000e+00,13,13_1_C,2.113710216322e+07,33,1.016267485762e-01,4.209517756016e-02,2.815239869274e+07,16,9.369164850722e-02,9.369164850722e-02,2.815239869274e+07,16,9.369164850722e-02,9.369164850722e-02
0.000000000000e+00,14,14_1_C,2.613590384007e+07,33,7.778174593052e-02,7.778174593052e-02,3.236583450048e+07,16,5.070555478837e-02,1.224140380577e-01,3.236583450048e+07,16,5.070555478837e-02,1.224140380577e-01
0.000000000000e+00,15,15_1_C,2.963385054838e+07,33,4.209517756016e-02,1.016267485762e-01,3.412996487108e+07,16,4.056642522176e-17,1.325000000000e-01,3.412996487108e+07,16,4.056642522176e-17,1.325000000000e-01
0.000000000000e+00,16,0_2_CH,3.317621694751e+06,17,-5.070555478837e-02,1.224140380577e-01,3.719713833536e+06,2,-7.605489520750e-03,1.548132957118e-01,3.719713833536e+06,2,-7.605489520750e-03,1.548132957118e-01
0.000000000000e+00,17,1_2_CH,2.964979020538e+06,17,-9.369164850722e-02,9.369164850722e-02,3.604581301325e+06,0,-5.931593201659e-02,1.432013275392e-01,3.604581301325e+06,0,-5.931593201659e-02,1.432013275392e-01
0.000000000000e+00,18,2_2_CH,2.408755114905e+07,17,-1.224140380577e-01,5.070555478837e-02,3.192055908850e+07,0,-1.096015510839e-01,1.096015510839e-01,3.192055908850e+07,0,-1.096015510839e-01,1.096015510839e-01
