z,Pp,ex,ey
0.000000000000e+00,-1.044050000000e+06,5.088692158207e-04,-2.558258305022e-03
1.000000000000e+00,-1.044050000000e+06,4.774353612686e-04,-2.400229646641e-03
2.000000000000e+00,-1.044050000000e+06,4.460638135212e-04,-2.242514225723e-03
3.000000000000e+00,-1.044050000000e+06,4.147651702189e-04,-2.085165320199e-03
4.000000000000e+00,-1.044050000000e+06,3.835518454730e-04,-1.928245340024e-03
5.000000000000e+00,-1.044050000000e+06,3.524384201926e-04,-1.771827588377e-03
6.000000000000e+00,-1.044050000000e+06,3.214420693672e-04,-1.615998409761e-03
7.000000000000e+00,-1.044050000000e+06,2.905830854509e-04,-1.460859821230e-03
8.000000000000e+00,-1.114700000000e+06,1.328497117481e-04,-6.678806023881e-04
9.000000000000e+00,-1.256000000000e+06,3.302813419880e-17,-4.150132045922e-18
1.000000000000e+01,-1.256000000000e+06,1.198350628260e-16,1.936728288097e-17
1.100000000000e+01,-1.256000000000e+06,-1.435253999215e-17,-6.086860334019e-17
1.200000000000e+01,-1.256000000000e+06,1.296916264351e-17,-1.798390553233e-17
1.300000000000e+01,-1.256000000000e+06,-1.123994095771e-17,2.420910360121e-17
1.400000000000e+01,-1.256000000000e+06,1.141286312629e-17,-3.320105636738e-17
1.425000000000e+01,-1.256000000000e+06,2.109650456677e-17,-4.841820720242e-18
1.500000000000e+01,-1.256000000000e+06,-1.020240794623e-17,-6.916886743203e-18
