idx,polygon_idx,name,shear_weightabs,area,cx,cy,x0,y0,x1,y1,x2,y2,tau_x,tau_y
0,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.06031250000000001,0.6385,0.06,0.636,0.0721875,0.63975,0.04875,0.63975,314642.2569571001,488418.4601848697
1,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.0725,0.64225,0.0721875,0.63975,0.084375,0.6435,0.060937500000000006,0.6435,299869.3820350726,164933.78493263698
2,0,flange:flange,0.4166666666666667,4.394531249999908e-05,0.0490625,0.64225,0.04875,0.63975,0.060937500000000006,0.6435,0.0375,0.6435,231011.12616899115,481053.5847600736
3,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.060625000000000005,0.641,0.0721875,0.63975,0.060937500000000006,0.6435,0.04875,0.63975,314642.2569571001,209252.40969872725
4,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.08468749999999999,0.646,0.084375,0.6435,0.0965625,0.64725,0.073125,0.64725,266347.3792049134,60794.32721431678
5,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.096875,0.6497499999999999,0.0965625,0.64725,0.10875,0.651,0.0853125,0.651,234409.0733894442,30449.06655256326
6,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.0734375,0.6497499999999999,0.073125,0.64725,0.0853125,0.651,0.061875,0.651,251429.79504085612,174746.1325321595
7,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.085,0.6485,0.0965625,0.64725,0.0853125,0.651,0.073125,0.64725,266347.3792049134,126263.98399898162
8,0,flange:flange,0.4166666666666667,4.394531250000036e-05,0.0378125,0.646,0.0375,0.6435,0.049687499999999996,0.64725,0.02625,0.64725,165409.69114435217,443022.6262903027
9,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.049999999999999996,0.6497499999999999,0.049687499999999996,0.64725,0.061875,0.651,0.0384375,0.651,204449.4825552109,355147.17247068265
10,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.0265625,0.6497499999999999,0.02625,0.64725,0.0384375,0.651,0.015,0.651,113797.39661294813,405767.75546516606
