element_tag,polygon_idx,polygon_name,container_idx,material_tag,weightabs,shear_weightabs,poisson,i,j,k,x,y,z,area,x0,x1,y0,y1,sigma_xx_3d,sigma_yy_3d,sigma_zz_3d,tau_xy_3d,tau_yz_3d,tau_zx_3d,sigma_zz_csf,tau_x_csf,tau_y_csf,potential_triangle_hits,sigma_zz_error,tau_x_error,tau_y_error
6689,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,0,0,22,-0.28500000000000003,-0.105,3.0,0.0008999999999999991,-0.3,-0.27,-0.12,-0.09,510.1214374777628,-192.95268935221247,-3216230.5996281807,-242.2838300491373,-36772.26473383016,44277.489861904956,-3011218.4213321903,6632.01909510303,919.5606718355169,6,205012.17829599045,-37645.470766801925,37691.82540566568
6690,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,1,0,22,-0.255,-0.105,3.0,0.0009000000000000007,-0.27,-0.24,-0.12,-0.09,2512.589496502769,-80.42439138179179,-3237689.625172828,-640.0846419980129,-13274.459669308428,101577.12765103331,-3050947.831327426,19794.691480624027,1009.2614924485486,6,186741.79384540208,-81782.43617040929,14283.721161756976
6691,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,2,0,22,-0.22499999999999998,-0.105,3.0,0.0009,-0.24,-0.21,-0.12,-0.09,5716.246003725333,-100.2244507583091,-3260447.2149080876,-819.8763343418639,-5340.09207736856,134075.78761344124,-3090677.2413226618,32678.43643938349,1294.4341285797354,6,169769.97358542588,-101397.35117405775,6634.526205948296
6692,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,3,0,22,-0.195,-0.105,3.0,0.0009,-0.21,-0.18,-0.12,-0.09,9604.097989146947,-49.23073993984144,-3283983.5324957445,-929.5541542197268,-1424.9442820269614,155791.6606752674,-3130406.651317897,44803.90734948198,1931.0054606134074,6,153576.88117784774,-110987.75332578542,3355.9497426403686
6693,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,4,0,22,-0.16499999999999998,-0.105,3.0,0.0009,-0.18,-0.15,-0.12,-0.09,13990.694350372767,-45.24589623324573,-3308083.4190794094,-1088.5339314316711,1057.2432396101456,171769.01337353917,-3170136.0613131323,55208.82361718622,3259.6712520764627,6,137947.35776627716,-116560.18975635295,2202.4280124663173
6694,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,5,0,22,-0.135,-0.105,3.0,0.0009,-0.15,-0.12,-0.12,-0.09,18742.435522578307,-245.21552629605867,-3332630.0855655656,-1012.4553716729085,3715.814004477424,183025.31573221524,-3209865.471308368,62024.52010655337,5848.536018975442,6,122764.61425719783,-121000.79562566188,2132.722014498018
6695,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,6,0,22,-0.105,-0.105,3.0,0.0009,-0.12,-0.09,-0.12,-0.09,22763.300452772644,-745.502009315067,-3357642.917886026,-121.83320751786232,7550.4414452252295,188034.0022052744,-3249594.8813036033,62048.32174015977,10313.430694864182,6,108048.03658242291,-125985.68046511462,2762.989249638953
6696,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,7,0,22,-0.075,-0.105,3.0,0.0009,-0.09,-0.06,-0.12,-0.09,24185.0704327228,-1303.424779433175,-3383156.842718304,2087.8050872310996,12900.502487516653,183849.23852426716,-3289324.2912988393,51187.09531504027,16523.425206985066,6,93832.55141946487,-132662.1432092269,3622.9227194684136
6697,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,8,0,22,-0.045,-0.105,3.0,0.0009,-0.06,-0.03,-0.12,-0.09,20635.17933455878,-1350.5466764965095,-3409100.570231494,5212.366949133575,19182.910229040932,167652.05657899877,-3329053.7012940743,27060.301466024433,22698.582929650896,6,80046.86893741973,-140591.75511297435,3515.6727006099645
6698,2,flange_bottom:flange_bottom,,91,0.85,0.3541666666666667,0.2,9,0,22,-0.015,-0.105,3.0,0.0009,-0.03,0.0,-0.12,-0.09,11709.499504645588,-526.2189709818922,-3435029.965457775,7612.656356245279,24775.77207263963,138896.92534199636,-3368783.1112893103,-7845.557630302487,26680.938300867827,6,66246.8541684649,-146742.48297229887,1905.1662282281977
