CARRERA & GIUNTA 2010 - CSF-CUF VALIDATION
============================================
Requested maximum order: N21
Each table uses only the case files that actually exist up to that ceiling.

TABLE 9 - CSF-CUF
=================
     N         10 |u_x*|         10^3 |u_y*|         10^2 u_z*
--------------------------------------------------------------
     1          2.950783            0.068839          6.430589
     2          3.877652            2.803833          8.593199
     3          4.014018            2.812663          8.742560
     4          4.014016            2.865736          8.743154
     5          4.025188            2.928505          8.738059
     6          4.025434            2.939636          8.738133
     7          4.034236            2.945481          8.739883
     8          4.034802            2.957545          8.739931
     9          4.037656            2.965672          8.741586
    10          4.037848            2.972402          8.741618
    11          4.044458            2.996301          8.743569
    12          4.044576            3.003615          8.743574
    13          4.046164            3.006344          8.743958
    14          4.046499            3.012436          8.743986
    15          4.047933            3.013935          8.744500
    16          4.048004            3.015193          8.744506
    17          4.050652            3.028798          8.745061
    18          4.050773            3.038514          8.745067

TABLE 10 - CSF-CUF
==================
     N         10 |u_x*|           10 |u_y*|         10^2 u_z*
--------------------------------------------------------------
     1          0.205195            0.428769          0.131609
     2          0.629295            1.387627          1.327604
     3          0.656386            1.400667          1.331575
     4          1.597707            3.509496          3.011552
     5          1.609354            3.520215          3.013124
     6          1.643686            3.597547          3.127766
     7          1.655253            3.593291          3.117757
     8          1.891361            4.117893          3.779054
     9          1.899037            4.118076          3.776509
    10          2.031073            4.411842          4.112417
    11          2.036438            4.414613          4.110712
    12          2.094094            4.541868          4.285678
    13          2.099999            4.541460          4.282903
    14          2.206758            4.778237          4.522213
    15          2.211105            4.778676          4.521205
    16          2.217526            4.792986          4.529380
    17          2.220863            4.794516          4.528254
    18          2.255825            4.871806          4.613628
    19          2.259756            4.872798          4.612711
    20          2.288527            4.936553          4.672726
    21          2.291650            4.936626          4.672109
