case,title,N,component,point,rms_error_mm,max_abs_error_mm,x_over_L_at_max_error,local_baseline_rms_mm,baseline_kind,spike_score,fem3d_component_peak_mm,flagged,severity,response
bending_legendre,Bending half-wave - Legendre,8,ux,center,0.00360461242454,0.006665309104,1,,none,,2.85296677847,False,,../output/bending_halfwave_v2_legendre_N08/response.txt
bending_legendre,Bending half-wave - Legendre,12,ux,center,0.00285482155601,0.005355072092,1,0.00336868531723,adjacent,0.847458663297,2.85296677847,False,,../output/bending_halfwave_v2_legendre_N12/response.txt
bending_legendre,Bending half-wave - Legendre,16,ux,center,0.00313275820992,0.005677175861,1,0.00308058946595,adjacent,1.01693466285,2.85296677847,False,,../output/bending_halfwave_v2_legendre_N16/response.txt
bending_legendre,Bending half-wave - Legendre,18,ux,center,0.00330635737589,0.006153814464,1,0.00310885248691,adjacent,1.06352983611,2.85296677847,False,,../output/bending_halfwave_v2_legendre_N18/response.txt
bending_legendre,Bending half-wave - Legendre,21,ux,center,0.00308494676389,0.00546364253473,0.9,0.00313275820992,previous_3,0.984738226562,2.85296677847,False,,../output/bending_halfwave_v2_legendre_N21/response.txt
bending_legendre,Bending half-wave - Legendre,8,ux,plus,0.00416694670309,0.00673791280286,0,,none,,2.85296677847,False,,../output/bending_halfwave_v2_legendre_N08/response.txt
bending_legendre,Bending half-wave - Legendre,12,ux,plus,0.00423739034423,0.00700678812186,0,0.00439850851975,adjacent,0.963369816199,2.85296677847,False,,../output/bending_halfwave_v2_legendre_N12/response.txt
bending_legendre,Bending half-wave - Legendre,16,ux,plus,0.00463007033642,0.00766826643053,0.05,0.00436693312359,adjacent,1.06025675351,2.85296677847,False,,../output/bending_halfwave_v2_legendre_N16/response.txt
bending_legendre,Bending half-wave - Legendre,18,ux,plus,0.00449647590295,0.00734980656386,0,0.00482451865368,adjacent,0.932005081901,2.85296677847,False,,../output/bending_halfwave_v2_legendre_N18/response.txt
bending_legendre,Bending half-wave - Legendre,21,ux,plus,0.00501896697093,0.0100863947369,0,0.00449647590295,previous_3,1.11620012633,2.85296677847,False,,../output/bending_halfwave_v2_legendre_N21/response.txt
bending_legendre,Bending half-wave - Legendre,8,ux,minus,0.00460082323797,0.0087789038611,0.95,,none,,2.85296677847,False,,../output/bending_halfwave_v2_legendre_N08/response.txt
