case,title,N,component,point,rms_error_mm,max_abs_error_mm,x_over_L_at_max_error,local_baseline_rms_mm,baseline_kind,spike_score,fem3d_component_peak_mm,flagged,severity,response
bending_legendre,Bending half-wave - Legendre,21,uy,center,0.00198826997778,0.00319940948394,0.6,3.48163471851e-05,previous_3,57.107368766,0.0361966649507,True,HIGH,../output/bending_halfwave_v2_legendre_N21/response.txt
bending_legendre,Bending half-wave - Legendre,21,uy,plus,0.0014387242198,0.00271329900853,0.2,6.53032751664e-05,previous_3,22.0314251642,0.0361966649507,True,HIGH,../output/bending_halfwave_v2_legendre_N21/response.txt
bending_legendre,Bending half-wave - Legendre,16,uy,minus,9.12640236133e-05,0.000206122994334,0.85,3.14586168401e-05,adjacent,2.90108189045,0.0361966649507,True,LOW,../output/bending_halfwave_v2_legendre_N16/response.txt
bending_legendre,Bending half-wave - Legendre,21,uy,minus,0.00464746126355,0.00761726897673,0.35,4.00371233108e-05,previous_3,116.078800854,0.0361966649507,True,HIGH,../output/bending_halfwave_v2_legendre_N21/response.txt
bending_legendre,Bending half-wave - Legendre,21,uy,bottom_mid,0.00359750212786,0.00575005223158,0.65,6.43822094824e-05,previous_3,55.8772703948,0.0361966649507,True,HIGH,../output/bending_halfwave_v2_legendre_N21/response.txt
bending_lagrange,Bending half-wave - Lagrange,16,uy,center,0.000347223175959,0.000577628468454,0.55,2.73619459494e-05,adjacent,12.6900029918,0.0361966649507,True,HIGH,../output/bending_halfwave_v2_lagrange_N16/response.txt
bending_lagrange,Bending half-wave - Lagrange,21,uy,plus,0.000256231555556,0.000691029323308,0.05,8.05945177303e-05,previous_3,3.17926780595,0.0361966649507,True,LOW,../output/bending_halfwave_v2_lagrange_N21/response.txt
bending_lagrange,Bending half-wave - Lagrange,16,uy,minus,0.000686989753495,0.00115615047194,0.4,9.86666999983e-05,adjacent,6.96273163598,0.0361966649507,True,MEDIUM,../output/bending_halfwave_v2_lagrange_N16/response.txt
bending_lagrange,Bending half-wave - Lagrange,16,uy,bottom_mid,0.000618183158057,0.0010192736463,0.55,6.46626083411e-05,adjacent,9.56013334316,0.0361966649507,True,HIGH,../output/bending_halfwave_v2_lagrange_N16/response.txt
torsion_legendre,Torsion half-wave - Legendre,24,ux,center,0.000190471355403,0.000263599275953,0.1,3.69219331886e-05,adjacent,5.15875900728,0.00992870552879,True,MEDIUM,../output/torsion_halfwave_legendre_N24/response.txt
torsion_legendre,Torsion half-wave - Legendre,24,ux,plus,0.000326656459324,0.00114978429405,0,0.000125810002483,adjacent,2.59642677749,0.00992870552879,True,LOW,../output/torsion_halfwave_legendre_N24/response.txt
torsion_legendre,Torsion half-wave - Legendre,24,ux,bottom_mid,0.000226026490469,0.000370353787682,0.45,4.78256970105e-05,adjacent,4.72604697051,0.00992870552879,True,MEDIUM,../output/torsion_halfwave_legendre_N24/response.txt
torsion_legendre,Torsion half-wave - Legendre,24,uz,center,6.44928895103e-05,0.000131310495582,0.3,9.16148528516e-06,adjacent,7.03956700283,0.0985185989029,True,MEDIUM,../output/torsion_halfwave_legendre_N24/response.txt
torsion_legendre,Torsion half-wave - Legendre,24,uz,bottom_mid,8.28750877501e-05,0.000263293899227,0.1,1.56516577531e-05,adjacent,5.2949718846,0.0985185989029,True,MEDIUM,../output/torsion_halfwave_legendre_N24/response.txt
torsion_lagrange,Torsion half-wave - Lagrange,16,ux,center,8.15867076209e-05,0.000135256612566,0.75,5.94881247365e-06,adjacent,13.714788957,0.00992870552879,True,HIGH,../output/torsion_halfwave_lagrange_N16/response.txt
torsion_lagrange,Torsion half-wave - Lagrange,16,ux,bottom_mid,0.000121456348355,0.000266441328804,0,9.77176210065e-06,adjacent,12.4293190014,0.00992870552879,True,HIGH,../output/torsion_halfwave_lagrange_N16/response.txt
torsion_lagrange,Torsion half-wave - Lagrange,16,uz,center,5.25202543196e-05,0.000118634330166,0.9,5.23127677164e-06,adjacent,10.039662708,0.0985185989029,True,HIGH,../output/torsion_halfwave_lagrange_N16/response.txt
torsion_lagrange,Torsion half-wave - Lagrange,22,uz,center,1.73411263748e-05,2.47755668167e-05,0.3,6.8186944773e-06,adjacent,2.54317398037,0.0985185989029,True,LOW,../output/torsion_halfwave_lagrange_N22/response.txt
torsion_lagrange,Torsion half-wave - Lagrange,16,uz,bottom_mid,5.10974328024e-05,8.48750259751e-05,0.6,8.83904966237e-06,adjacent,5.78087404803,0.0985185989029,True,MEDIUM,../output/torsion_halfwave_lagrange_N16/response.txt
