x_over_L,x,point,y,z,ux,uy,uz
0.0,0.0,center,0.0,0.0,0.0,0.0,0.0
0.0,0.0,plus,-33.0,75.0,2.215239229604536,0.0,0.0
0.0,0.0,minus,12.5,-50.0,-1.490590073658266,0.0,0.0
0.0,0.0,bottom_mid,0.0,-50.0,-1.4908515081216118,0.0,0.0
0.05,50.0,center,0.0,0.0,0.005178049184147238,-1.8377624002566288e-10,-1.5204476138131449
0.05,50.0,plus,-32.525,73.875,2.1712606770101983,-0.004009898418988617,-1.5184453378570169
0.05,50.0,minus,12.3125,-49.25,-1.452847327244324,-0.00239003887688103,-1.5152016541440654
0.05,50.0,bottom_mid,0.0,-49.25,-1.453098102040095,-1.8302094700967565e-10,-1.515018354541212
0.1,100.0,center,0.0,0.0,0.021136667709548883,-3.6505209440479265e-10,-3.0198325913902333
0.1,100.0,plus,-32.05,72.75,2.1059915371154294,-0.00829668318735457,-3.0163239461370925
0.1,100.0,minus,12.125,-48.5,-1.382733159603458,-0.0049389885946401115,-3.0091941327240646
0.1,100.0,bottom_mid,0.0,-48.5,-1.3829582760193733,-3.636139580968656e-10,-3.008796628208065
0.15,150.0,center,0.0,0.0,0.04863427629363527,-5.409844179919747e-10,-4.473489102211052
0.15,150.0,plus,-31.575,71.625,2.0184631665182287,-0.012673194072607334,-4.46869492695152
0.15,150.0,minus,11.9375,-47.75,-1.278228936619989,-0.007542307370586095,-4.457245176735706
0.15,150.0,bottom_mid,0.0,-47.75,-1.2784202120812331,-5.389292455792988e-10,-4.456629245059164
0.2,200.0,center,0.0,0.0,0.0882816803803886,-7.081353676097298e-10,-5.854580050233437
0.2,200.0,plus,-31.1,70.5,1.9085588337568542,-0.01699766467183191,-5.84863291565102
0.2,200.0,minus,11.75,-47.0,-1.1382145061574291,-0.01013421447680714,-5.83265385173478
0.2,200.0,bottom_mid,0.0,-47.0,-1.1383646401698482,-7.052697166780066e-10,-5.8318208181889615
0.25,250.0,center,0.0,0.0,0.14041231521475736,-8.627013781690032e-10,-7.134759827524318
0.25,250.0,plus,-30.625,69.375,1.776768396237703,-0.021154463570858345,-7.127821903548914
0.25,250.0,minus,11.5625,-46.25,-0.9624546782597374,-0.012645278912771904,-7.107229950449808
0.25,250.0,bottom_mid,0.0,-46.25,-0.9625572957479905,-8.58414236823242e-10,-7.106187079539285
0.3,300.0,center,0.0,0.0,0.2050479803780461,-1.0014082505164316e-09,-8.284813197849152
0.3,300.0,plus,-30.15,68.25,1.624231711766118,-0.02502628758967722,-8.277077890152182
0.3,300.0,minus,11.375,-45.5,-0.7516870575621495,-0.015004544241968159,-8.251920239127738
0.3,300.0,bottom_mid,0.0,-45.5,-0.7517369211192807,-9.951622356970203e-10,-8.250680725924305
0.35,350.0,center,0.0,0.0,0.281863046743788,-1.1210412638478998e-09,-9.275369855767385
0.35,350.0,plus,-29.675,67.125,1.4527703291591232,-0.028496209790874905,-9.267053518276034
0.35,350.0,minus,11.1875,-44.75,-0.5076930337754091,-0.017140730247938094,-9.237522420463124
0.35,350.0,bottom_mid,0.0,-44.75,-0.507686185194397,-1.1123562882414383e-09,-9.23610535874501
0.4,400.0,center,0.0,0.0,0.3701523280987128,-1.2197883743830317e-09,-10.077715096792767
0.4,400.0,plus,-29.2,66.0,1.2649003113475035,-0.03145087357000207,-10.069049889741922
0.4,400.0,minus,11.0,-44.0,-0.23335668945179053,-0.018983546176161648,-10.035492444930396
0.4,400.0,bottom_mid,0.0,-44.0,-0.23329058389164692,-1.20910237773731e-09,-10.03392270167984
0.45,450.0,center,0.0,0.0,0.4688042440453191,-1.2961033439447018e-09,-10.664694016164898
0.45,450.0,plus,-28.725,64.875,1.0638301840801399,-0.03378308308510129,-10.65592072825589
0.45,450.0,minus,10.8125,-43.25,0.06729266386522703,-0.020465164564596152,-10.618845027886818
0.45,450.0,bottom_mid,0.0,-43.25,0.06741904767371883,-1.285155432657812e-09,-10.617152992208092
0.5,500.0,center,0.0,0.0,0.5762795731180309,-1.3459588944071625e-09,-11.01170282080008
0.5,500.0,plus,-28.25,63.75,0.8534439562445699,-0.0353942409289014,-11.003063338377377
0.5,500.0,minus,10.625,-42.5,0.38905716045853217,-0.02152171006697917,-10.963141252997437
0.5,500.0,bottom_mid,0.0,-42.5,0.3892432430213631,-1.3361646674502935e-09,-10.96136246058275
0.55,550.0,center,0.0,0.0,0.6905964449299979,-1.3649281477730933e-09,-11.09775909027408
0.55,550.0,plus,-27.775,62.625,0.6382686429924154,-0.03619666403280814,-11.089488671549896
0.55,550.0,minus,10.4375,-41.75,0.7255679706937761,-0.022094709955410075,-11.047555090214912
0.55,550.0,bottom_mid,0.0,-41.75,0.7258115305907895,-1.3570605181344177e-09,-11.04572972905437
0.6,600.0,center,0.0,0.0,0.8093222698797562,-1.349317846881177e-09,-10.90664105370336
0.6,600.0,plus,-27.3,61.5,0.42342600462472785,-0.0361157209171896,-10.898960626121683
0.6,600.0,minus,10.25,-41.0,1.0693051028539133,-0.022132474962694958,-10.856008956946026
0.6,600.0,bottom_mid,0.0,-41.0,1.069602273244698,-1.3434584453409916e-09,-10.854181261789327
0.65,650.0,center,0.0,0.0,0.9295732174217969,-1.2953789053144363e-09,-10.428084160804586
0.65,650.0,plus,-26.825,60.375,0.21456854264133687,-0.03509173598398673,-10.421192858249595
0.65,650.0,minus,10.0625,-40.25,1.4116403672105828,-0.02159137964458429,-10.378366685495978
0.65,650.0,bottom_mid,0.0,-40.25,1.4119856708852467,-1.2908002341921415e-09,-10.376584230971847
0.7,700.0,center,0.0,0.0,1.048021738503588,-1.2010502760169245e-09,-9.659021513982184
0.7,700.0,plus,-26.35,59.25,0.017800120581043202,-0.03308161274169054,-9.653089664747618
0.7,700.0,minus,9.875,-39.5,1.7429040546085655,-0.020437011728173922,-9.611670551390866
0.7,700.0,bottom_mid,0.0,-39.5,1.7432904775878593,-1.1961299205903124e-09,-9.60998345617919
0.75,750.0,center,0.0,0.0,1.1609124903010988,-1.0682537078126736e-09,-8.604853150595797
0.75,750.0,plus,-25.875,58.125,-0.16041808705470978,-0.03006012960023297,-8.600015902380315
0.75,750.0,minus,9.6875,-38.75,2.0524754455469267,-0.018645162496529963,-8.561407440850362
0.75,750.0,bottom_mid,0.0,-38.75,2.0528945481266265,-1.06196853202788e-09,-8.559867497473817
0.8,800.0,center,0.0,0.0,1.2640868509209224,-9.009045885484819e-10,-7.2807277504432175
0.8,800.0,plus,-25.4,57.0,-0.3133752262280471,-0.02602085017197438,-7.2770795207522445
0.8,800.0,minus,9.5,-38.0,2.3288968520052022,-0.01620263823430715,-7.242787790891096
0.8,800.0,bottom_mid,0.0,-38.0,2.3293389153183037,-8.935518482100945e-10,-7.241447535419798
0.85,850.0,center,0.0,0.0,1.3530163640739143,-7.049343358230334e-10,-5.712818844588696
0.85,850.0,plus,-24.925,55.875,-0.4342304030277479,-0.020976786255173612,-5.710410129739644
0.85,850.0,minus,9.3125,-37.25,2.5600103296637156,-0.013107826313850733,-5.682019148567131
0.85,850.0,bottom_mid,0.0,-37.25,2.5604645498025014,-6.98084712054448e-10,-5.680930883665263
0.9,900.0,center,0.0,0.0,1.422847959352426,-4.857813098569907e-10,-3.9395754796799207
0.9,900.0,plus,-24.450000000000003,54.75,-0.516145979558238,-0.014962921524593399,-3.938418041138569
0.9,900.0,minus,9.125,-36.5,2.7331109554221027,-0.009370364254246352,-3.9175552975018086
0.9,900.0,bottom_mid,0.0,-36.5,2.7335657391587618,-4.809128725610731e-10,-3.9167702287785593
0.95,950.0,center,0.0,0.0,1.4684525978235483,-2.4811840706509445e-10,-2.0129522172397896
0.95,950.0,plus,-23.975,53.625,-0.5524611416279652,-0.008018360509656892,-2.0129134910986615
0.95,950.0,minus,8.9375,-35.75,2.8351002136393046,-0.005010919617892599,-2.0013382588106836
0.95,950.0,bottom_mid,0.0,-35.75,2.835543104686443,-2.457506869619373e-10,-2.000906048381181
1.0,1000.0,center,0.0,0.0,1.4846133429921353,0.0,0.0
1.0,1000.0,plus,-23.5,52.5,-0.5363739949251813,0.0,0.0
1.0,1000.0,minus,8.75,-35.0,2.8525375867297638,0.0,0.0
1.0,1000.0,bottom_mid,0.0,-35.0,2.8529667784656154,0.0,0.0
