x_over_L,x,point,y,z,ux,uy,uz
0.0,0.0,center,0.0,0.0,0.0,0.0,0.0
0.0,0.0,plus,-33.0,75.0,0.0009440660058773528,0.0,0.0
0.0,0.0,minus,12.5,-50.0,0.0077448215906252005,0.0,0.0
0.0,0.0,bottom_mid,0.0,-50.0,0.0002971369823647288,0.0,0.0
0.05,50.0,center,0.0,0.0,-6.370229541961384e-06,-0.016765934603108254,0.0003229584738644392
0.05,50.0,plus,-32.525,73.875,0.0010533637060744822,0.010170078552993617,0.012381670943636468
0.05,50.0,minus,12.3125,-49.25,0.00768044895110501,-0.034639598066540496,-0.004265946989702438
0.05,50.0,bottom_mid,0.0,-49.25,0.00028355472271206786,-0.03458605369135306,0.0002899586844562269
0.1,100.0,center,0.0,0.0,-2.5799967282486345e-05,-0.03358598281587797,0.0006398186396392801
0.1,100.0,plus,-32.05,72.75,0.0011523996457126868,0.02034475780855513,0.024926222865352177
0.1,100.0,minus,12.125,-48.5,0.007580189563487187,-0.06944124526033438,-0.008615087998853294
0.1,100.0,bottom_mid,0.0,-48.5,0.0002513510166804605,-0.06933636157021536,0.0005741823818167711
0.15,150.0,center,0.0,0.0,-5.86369540799329e-05,-0.050307448810668724,0.0009446806815732034
0.15,150.0,plus,-31.575,71.625,0.0012319007555046068,0.030313170541840004,0.037342727401103365
0.15,150.0,minus,11.9375,-47.75,0.007348666285763038,-0.10396995224942676,-0.012935997481466979
0.15,150.0,bottom_mid,0.0,-47.75,0.00020079424135576514,-0.10381716720402433,0.0008473410159232521
0.2,200.0,center,0.0,0.0,-0.00010480411610096182,-0.06661541487321192,0.0012315710783023942
0.2,200.0,plus,-31.1,70.5,0.0012781137648897874,0.03986198508270793,0.049364916975982547
0.2,200.0,minus,11.75,-47.0,0.006951606107760636,-0.13754855929995408,-0.01713466664991531
0.2,200.0,bottom_mid,0.0,-47.0,0.00013219443234719372,-0.13735132268952877,0.001104269287811945
0.25,250.0,center,0.0,0.0,-0.00016381788475350887,-0.08212615271455818,0.0014943760940460725
0.25,250.0,plus,-30.625,69.375,0.0012877896398193116,0.04876458977820478,0.06071060931038274
0.25,250.0,minus,11.5625,-46.25,0.006379576196667029,-0.16938251648311506,-0.021108770675671337
0.25,250.0,bottom_mid,0.0,-46.25,4.622747695983826e-05,-0.16914497841609274,0.001339641083627586
0.3,300.0,center,0.0,0.0,-0.00023483563172250322,-0.09642958859046291,0.0017269921222371708
0.3,300.0,plus,-30.15,68.25,0.0012602742104055162,0.0567909447018896,0.07108564617074481
0.3,300.0,minus,11.375,-45.5,0.005635243843825943,-0.19863041790449204,-0.024752092147275574
0.3,300.0,bottom_mid,0.0,-45.5,-5.5959795176134415e-05,-0.19835765688111553,0.0015480860580955945
0.35,350.0,center,0.0,0.0,-0.0003166717410695091,-0.10910870451875031,0.0019235003301120103
0.35,350.0,plus,-29.675,67.125,0.0011958327074192794,0.06371621862884143,0.0801944262958928
0.35,350.0,minus,11.1875,-44.75,0.004728246848495785,-0.22444320044476979,-0.027958648237452238
0.35,350.0,bottom_mid,0.0,-44.75,-0.00017273833516630543,-0.2241412327789575,0.001724351994496849
0.4,400.0,center,0.0,0.0,-0.0004078091001097,-0.11975274693041404,0.002078347680335552
0.4,400.0,plus,-29.2,66.0,0.0010953687465270312,0.06932802210497416,0.08774941536332424
0.4,400.0,minus,11.0,-44.0,0.0036733923308709063,-0.2459912099430198,-0.030625870521624465
0.4,400.0,bottom_mid,0.0,-44.0,-0.0003020091814667413,-0.2456668972027382,0.0018634706386123905
0.45,450.0,center,0.0,0.0,-0.0005064174639926447,-0.1279690765922141,0.0021865367012812707
0.45,450.0,plus,-28.725,64.875,0.0009603973772909368,0.07343297741342746,0.09347986411062618
0.45,450.0,minus,10.8125,-43.25,0.0024900188660434493,-0.26248805606554665,-0.032657448746967944
0.45,450.0,bottom_mid,0.0,-43.25,-0.0004412268726880253,-0.2621489644484556,0.001960931831436946
0.5,500.0,center,0.0,0.0,-0.0006103802104297157,-0.13339496005009505,0.0022438222526977736
0.5,500.0,plus,-28.25,63.75,0.0007930443535395353,0.07586298569085158,0.09714024640462782
0.5,500.0,minus,10.625,-42.5,0.0012016464755264247,-0.2732142095885914,-0.03396614687009018
0.5,500.0,bottom_mid,0.0,-42.5,-0.0005874341856988563,-0.2728684421520412,0.0020128663729939837
