CSF-CUF RESPONSE
======================
problem.type = surface_halfwave

STATION RESPONSES
-----------------
x/L       x [mm]             y [mm]               z [mm]               point         ux [mm]             uy [mm]             uz [mm]
 0.00     0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  center        -1.109957056280e-15  -5.196682575695e-28  -2.187980501166e-16
 0.00     0.000000000000e+00  -3.300000000000e+01  7.500000000000e+01  plus          2.221977142328e+00  3.348231639133e-17  -2.012680162644e-15
 0.00     0.000000000000e+00  1.250000000000e+01  -5.000000000000e+01  minus         -1.492974625418e+00  1.447475233900e-17  -3.593664810318e-16
 0.00     0.000000000000e+00  0.000000000000e+00  -5.000000000000e+01  bottom_mid    -1.493500625065e+00  -5.130777739561e-28  -1.423667212946e-16
 0.05     5.000000000000e+01  0.000000000000e+00  0.000000000000e+00  center        5.168067945090e-03  -3.713027995665e-15  -1.523250766555e+00
 0.05     5.000000000000e+01  -3.252500000000e+01  7.387500000000e+01  plus          2.177791346192e+00  -4.039097291502e-03  -1.521417571658e+00
 0.05     5.000000000000e+01  1.231250000000e+01  -4.925000000000e+01  minus         -1.454993818756e+00  -2.399098896436e-03  -1.518050896779e+00
 0.05     5.000000000000e+01  0.000000000000e+00  -4.925000000000e+01  bottom_mid    -1.455505381894e+00  -6.584846456399e-15  -1.517870690739e+00
 0.10     1.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        2.112934507801e-02  -8.425265342323e-15  -3.025084262225e+00
 0.10     1.000000000000e+02  -3.205000000000e+01  7.275000000000e+01  plus          2.112382022625e+00  -8.308635352288e-03  -3.021660826792e+00
 0.10     1.000000000000e+02  1.212500000000e+01  -4.850000000000e+01  minus         -1.384753356688e+00  -4.934753067936e-03  -3.014428540272e+00
 0.10     1.000000000000e+02  0.000000000000e+00  -4.850000000000e+01  bottom_mid    -1.385250482828e+00  -1.172766124775e-14  -3.014033686705e+00
 0.15     1.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        4.869903866208e-02  -1.281910122267e-14  -4.481208690105e+00
 0.15     1.500000000000e+02  -3.157500000000e+01  7.162500000000e+01  plus          2.024784851891e+00  -1.267627159191e-02  -4.476426268090e+00
 0.15     1.500000000000e+02  1.193750000000e+01  -4.775000000000e+01  minus         -1.280166969677e+00  -7.538393183981e-03  -4.464914715062e+00
 0.15     1.500000000000e+02  0.000000000000e+00  -4.775000000000e+01  bottom_mid    -1.280632332322e+00  -1.593140202079e-14  -4.464298321361e+00
 0.20     2.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        8.847914355701e-02  -1.634403218153e-14  -5.864896900593e+00
 0.20     2.000000000000e+02  -3.110000000000e+01  7.050000000000e+01  plus          1.914736105378e+00  -1.701389484495e-02  -5.858971188094e+00
 0.20     2.000000000000e+02  1.175000000000e+01  -4.700000000000e+01  minus         -1.139985161399e+00  -1.013767427608e-02  -5.842901616863e+00
 0.20     2.000000000000e+02  0.000000000000e+00  -4.700000000000e+01  bottom_mid    -1.140399010820e+00  -1.943582940254e-14  -5.842068125730e+00
 0.25     2.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        1.408056735836e-01  -1.895130731280e-14  -7.147693762470e+00
