CSF-CUF RESPONSE
======================
problem.type = torsion_halfwave

STATION RESPONSES
-----------------
x/L       x [mm]             y [mm]               z [mm]               point         ux [mm]             uy [mm]             uz [mm]
 0.00     0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  center        3.866716496577e-11  -1.063041856996e-11  -3.976536538024e-11
 0.00     0.000000000000e+00  -3.300000000000e+01  7.500000000000e+01  plus          4.265979169313e-10  -3.996130312041e-10  2.711769889197e-10
 0.00     0.000000000000e+00  1.250000000000e+01  -5.000000000000e+01  minus         3.464856623334e-11  1.488623928409e-11  3.745847771226e-11
 0.00     0.000000000000e+00  0.000000000000e+00  -5.000000000000e+01  bottom_mid    6.538893962700e-11  -1.506233357618e-12  -1.048244266322e-11
 0.05     5.000000000000e+01  0.000000000000e+00  0.000000000000e+00  center        5.437436870203e-05  -6.738528436285e-03  -5.033621992856e-05
 0.05     5.000000000000e+01  -3.252500000000e+01  7.387500000000e+01  plus          5.703409785227e-04  5.333765642349e-03  6.258265519945e-03
 0.05     5.000000000000e+01  1.231250000000e+01  -4.925000000000e+01  minus         4.387120053156e-03  -1.361247314342e-02  -1.503806196548e-03
 0.05     5.000000000000e+01  0.000000000000e+00  -4.925000000000e+01  bottom_mid    1.651734147548e-05  -1.340806914231e-02  -8.182196467238e-05
 0.10     1.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        9.285368929136e-05  -2.057599793744e-02  -4.139120111609e-05
 0.10     1.000000000000e+02  -3.205000000000e+01  7.275000000000e+01  plus          1.051869076205e-03  1.371640429438e-02  1.614626023894e-02
 0.10     1.000000000000e+02  1.212500000000e+01  -4.850000000000e+01  minus         6.948320967798e-03  -4.226002367756e-02  -5.668856611435e-03
 0.10     1.000000000000e+02  0.000000000000e+00  -4.850000000000e+01  bottom_mid    -5.524442115624e-05  -4.221888910082e-02  -5.721365786852e-05
 0.15     1.500000000000e+02  0.000000000000e+00  0.000000000000e+00  center        1.148699468625e-04  -3.721840257386e-02  3.503969704770e-06
 0.15     1.500000000000e+02  -3.157500000000e+01  7.162500000000e+01  plus          9.559454770678e-04  2.271740591275e-02  2.776850654105e-02
 0.15     1.500000000000e+02  1.193750000000e+01  -4.775000000000e+01  minus         7.686322881515e-03  -7.629985851014e-02  -1.016321941382e-02
 0.15     1.500000000000e+02  0.000000000000e+00  -4.775000000000e+01  bottom_mid    3.110195646310e-05  -7.642855550130e-02  -3.698356446684e-05
 0.20     2.000000000000e+02  0.000000000000e+00  0.000000000000e+00  center        1.210018308832e-04  -5.404750051266e-02  6.714787825782e-05
