model_id,model_label,n_elems,n_section_calls,z_node,N_node,T_node,MB_node,MT_node
model_0,Model 0 - uniform 4 (4 elements),4,13,0.000000000000e+00,5.000000000000e+06,4.992000000000e+05,6.642496000000e+07,3.000000000000e+06
model_0,Model 0 - uniform 4 (4 elements),4,13,2.190000000000e+01,5.000000000000e+06,6.744000000000e+05,5.357404000000e+07,3.000000000000e+06
model_0,Model 0 - uniform 4 (4 elements),4,13,4.380000000000e+01,5.000000000000e+06,8.496000000000e+05,3.688624000000e+07,3.000000000000e+06
model_0,Model 0 - uniform 4 (4 elements),4,13,6.570000000000e+01,5.000000000000e+06,1.024800000000e+06,1.636156000000e+07,3.000000000000e+06
model_0,Model 0 - uniform 4 (4 elements),4,13,8.760000000000e+01,5.000000000000e+06,1.200000000000e+06,8.000000000000e+06,3.000000000000e+06
model_1,Model 1 - uniform 6 (6 elements),6,19,0.000000000000e+00,5.000000000000e+06,4.992000000001e+05,6.642496000000e+07,3.000000000000e+06
model_1,Model 1 - uniform 6 (6 elements),6,19,1.460000000000e+01,5.000000000000e+06,6.160000000001e+05,5.828400000000e+07,3.000000000000e+06
model_1,Model 1 - uniform 6 (6 elements),6,19,2.920000000000e+01,5.000000000000e+06,7.328000000001e+05,4.843776000000e+07,3.000000000000e+06
model_1,Model 1 - uniform 6 (6 elements),6,19,4.380000000000e+01,5.000000000000e+06,8.496000000000e+05,3.688624000000e+07,3.000000000000e+06
model_1,Model 1 - uniform 6 (6 elements),6,19,5.840000000000e+01,5.000000000000e+06,9.664000000000e+05,2.362944000000e+07,3.000000000000e+06
model_1,Model 1 - uniform 6 (6 elements),6,19,7.300000000000e+01,5.000000000000e+06,1.083200000000e+06,8.667360000000e+06,3.000000000000e+06
model_1,Model 1 - uniform 6 (6 elements),6,19,8.760000000000e+01,5.000000000000e+06,1.200000000000e+06,8.000000000000e+06,3.000000000000e+06
model_2,Model 2 - uniform 8 (8 elements),8,25,0.000000000000e+00,5.000000000000e+06,4.992000000001e+05,6.642496000001e+07,3.000000000000e+06
model_2,Model 2 - uniform 8 (8 elements),8,25,1.095000000000e+01,5.000000000000e+06,5.868000000001e+05,6.047911000001e+07,3.000000000000e+06
model_2,Model 2 - uniform 8 (8 elements),8,25,2.190000000000e+01,5.000000000000e+06,6.744000000001e+05,5.357404000001e+07,3.000000000000e+06
model_2,Model 2 - uniform 8 (8 elements),8,25,3.285000000000e+01,5.000000000000e+06,7.620000000002e+05,4.570975000000e+07,3.000000000000e+06
model_2,Model 2 - uniform 8 (8 elements),8,25,4.380000000000e+01,5.000000000000e+06,8.496000000001e+05,3.688624000000e+07,3.000000000000e+06
model_2,Model 2 - uniform 8 (8 elements),8,25,5.475000000000e+01,5.000000000000e+06,9.372000000001e+05,2.710351000000e+07,3.000000000000e+06
model_2,Model 2 - uniform 8 (8 elements),8,25,6.570000000000e+01,5.000000000000e+06,1.024800000000e+06,1.636156000000e+07,3.000000000000e+06
model_2,Model 2 - uniform 8 (8 elements),8,25,7.665000000000e+01,5.000000000000e+06,1.112400000000e+06,4.660390000000e+06,3.000000000000e+06
model_2,Model 2 - uniform 8 (8 elements),8,25,8.760000000000e+01,5.000000000000e+06,1.200000000000e+06,8.000000000001e+06,3.000000000000e+06
model_3,Model 3 - uniform 12 (12 elements),12,37,0.000000000000e+00,5.000000000000e+06,4.992000000014e+05,6.642496000009e+07,3.000000000000e+06
