## GEOMETRY EXPORT ##
# z=5.0
idx_polygon,idx_container,s0_name,s1_name,w,shear_w,poisson,vertex_i,x,y
0,,upper0,upper0,1,0.25,1,0,-0.25,0
0,,upper0,upper0,1,0.25,1,1,0.25,0
0,,upper0,upper0,1,0.25,1,2,0.25,0.25
0,,upper0,upper0,1,0.25,1,3,-0.25,0.25
1,0,upper0_insert,upper0_insert,2,0.333333333333,2,0,-0.2,0.025
1,0,upper0_insert,upper0_insert,2,0.333333333333,2,1,0.2,0.025
1,0,upper0_insert,upper0_insert,2,0.333333333333,2,2,0.2,0.225
1,0,upper0_insert,upper0_insert,2,0.333333333333,2,3,-0.2,0.225
2,1,upper0_insert_hole,upper0_insert_hole,0,0,0,0,-0.1,0.075
2,1,upper0_insert_hole,upper0_insert_hole,0,0,0,1,0.1,0.075
2,1,upper0_insert_hole,upper0_insert_hole,0,0,0,2,0.1,0.175
2,1,upper0_insert_hole,upper0_insert_hole,0,0,0,3,-0.1,0.175
3,,lower0,lower0,1,0.416666666667,0.2,0,-0.15,-0.2
3,,lower0,lower0,1,0.416666666667,0.2,1,0.15,-0.2
3,,lower0,lower0,1,0.416666666667,0.2,2,0.15,0
3,,lower0,lower0,1,0.416666666667,0.2,3,-0.15,0
