## GEOMETRY EXPORT ##
# z=7.0
idx_polygon,idx_container,s0_name,s1_name,w,shear_w,poisson,vertex_i,x,y
0,,upper1,upper1,0.8,0.68,,0,-0.15,0
0,,upper1,upper1,0.8,0.68,,1,0.15,0
0,,upper1,upper1,0.8,0.68,,2,0.15,0.2
0,,upper1,upper1,0.8,0.68,,3,-0.15,0.2
1,,middle1,middle1,1,0.416666666667,0.2,0,-0.15,-0.3
1,,middle1,middle1,1,0.416666666667,0.2,1,0.15,-0.3
1,,middle1,middle1,1,0.416666666667,0.2,2,0.15,0
1,,middle1,middle1,1,0.416666666667,0.2,3,-0.15,0
2,,lower1,lower1,1,0.416666666667,0.2,0,-0.15,-0.54
2,,lower1,lower1,1,0.416666666667,0.2,1,0.15,-0.54
2,,lower1,lower1,1,0.416666666667,0.2,2,0.15,-0.3
2,,lower1,lower1,1,0.416666666667,0.2,3,-0.15,-0.3
